index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,id2m-train-auc,id2m-validation-auc
999182cf41,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.417 0.425 0.426,0.501 0.504 0.501,0.6230500929458889,0.5429241122218104
999f89ae27,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.113 0.103 0.103,0.682 0.694 0.663,,
9aa62dafbe,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.593 0.601 0.606,0.681 0.683 0.68,0.6918184860603016,0.6228353674154314
a326360664,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.613 0.569 0.585,0.645 0.589 0.588,,
a6392d71f6,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.54 0.523 0.53,0.556 0.548 0.544,,
a7a936cbca,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.307 0.383 0.312,0.371 0.417 0.356,,
a8db092130,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.644 0.65 0.649,0.747 0.75 0.742,0.7461378503186568,0.6628582419147232
a92ba05a3b,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.434 0.442 0.444,0.529 0.534 0.532,0.6355094182468359,0.5480919236520858
ab02c546ff,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.123 1.153 1.112,1.15 1.13 1.13,,
ab89cb4d51,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.853 0.847 0.855,0.845 0.849 0.87,,
abab9ec838,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.865 0.898 0.862,0.891 0.967 0.932,,
aca784d1e0,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.752 0.752 0.748,0.84 0.838 0.83,0.7196482528735632,0.6498677117595049
ad5d103cd3,cifar10,resnet18,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.181 0.182 0.186,0.51 0.485 0.502,,
ae8c7beab8,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.825 0.785 0.787,0.886 0.832 0.855,,
af6c6d2315,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.123 0.132 0.124,0.462 0.524 0.462,,
afe6e11618,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.788 0.805 0.778,0.801 0.8 0.781,,
b5954718f3,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.65 0.64 0.648,0.728 0.722 0.721,0.7393428467616355,0.6742362402574722
b657e0f995,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.047 0.051 0.059,0.38 0.337 0.418,,
b6d2e004fb,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.714 0.692 0.703,0.743 0.723 0.728,0.7139467535238655,0.6826699749717187
b809ba47ee,cifar10,resnet34,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.55 0.48 0.534,0.544 0.492 0.631,,
b8eb25bdbd,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.575 0.584 0.582,0.605 0.6 0.604,,
b92bb0785f,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,2.306 2.306 2.307,2.307 2.307 2.306,,
bbce9add0e,cifar10,resnet18,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.462 0.472 0.461,0.495 0.515 0.482,,
bedc697d7b,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.088 0.093 0.093,0.688 0.649 0.663,,
c3d7339ffa,cifar10,resnet18,drp=0,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.651 0.667 0.662,0.744 0.763 0.724,,
c58b981e8c,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.38 0.384 0.388,0.479 0.485 0.486,0.6396647297699507,0.5443733033122278
c679875125,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.455 0.498 0.421,0.536 0.569 0.483,0.6112296353313726,0.5447066326718472
c67a25352a,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,2.306 2.307 2.306,2.308 2.306 2.307,,
c915be57a7,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.495 0.493 0.446,0.525 0.528 0.482,0.5778495660482307,0.5492649352376557
c9ae4508bd,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.368 0.371 0.367,0.462 0.456 0.454,0.6384992439338143,0.5417893714612371
cee48f08cb,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.568 0.566 0.552,0.654 0.644 0.64,0.6956056793588027,0.62321123441528
cf1760d56c,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.518 0.514 0.534,0.627 0.629 0.629,0.7061362616096295,0.62142241635914
d029f30bc8,cifar10,resnet34,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.321 0.284 0.429,0.555 0.595 0.63,,
d0c02d2033,cifar10,resnet34,drp=0,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.108 0.123 0.104,0.473 0.488 0.463,,
d1d0871793,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.559 0.57 0.569,0.662 0.666 0.666,0.7036587151919174,0.6219595053925315
